time,RW_x,RW_y,RW_z,label,l_val,predicted_label,confidence
1.53E+12,5.0122824,1.3356512,19.508167,flight_take_off,2,2,0.60786533
1.53E+12,-1.5271424,3.451629,12.786825,flight_take_off,2,2,0.5518462
1.53E+12,1.6516117,-10.29744,-3.2697124,flight_take_off,2,2,0.41023943
1.53E+12,3.8154624,-1.5558661,9.560199,flight_take_off,2,2,0.5327958
1.53E+12,10.699572,-5.7782474,7.8846507,flight_take_off,2,2,0.5703912
1.53E+12,-8.229335,-6.2761245,1.5271424,flight_take_off,2,2,0.57209027
1.53E+12,-5.1846247,-6.9463434,2.0920415,flight_take_off,2,2,0.62189275
1.53E+12,-2.0728924,-4.284616,5.682502,flight_take_off,2,2,0.62721944
1.53E+12,0.69415563,-0.00478728,11.140001,flight_take_off,2,2,0.633344
1.53E+12,-2.6760898,-4.6005764,7.0133657,flight_take_off,2,2,0.59848017
1.53E+12,-1.8143792,-5.3186684,6.458041,flight_take_off,2,2,0.6168004
1.53E+12,-2.4654493,-3.1165195,7.137835,flight_take_off,2,2,0.64044327
1.53E+12,-2.7909844,-14.395351,2.88673,flight_take_off,2,2,0.64902
1.53E+12,-5.682502,-7.8655014,2.5420458,flight_take_off,2,2,0.6279841
1.53E+12,-4.3133397,-6.1420803,8.2676325,flight_take_off,2,2,0.6217216
1.53E+12,7.02294,3.2984362,13.801729,flight_take_off,2,2,0.63447857
1.53E+12,1.6803354,-0.16755481,8.995299,flight_take_off,2,2,0.6044948
1.53E+12,-1.6324625,-5.845269,7.56869,flight_take_off,2,2,0.543863
1.53E+12,-4.3324885,6.9463434,-4.868664,flight_take_off,2,2,0.5290175
1.53E+12,-1.79523,-2.360129,-1.2494801,flight_take_off,2,4,0.4181941
1.53E+12,2.3888528,-3.3941817,4.466532,flight_take_off,2,4,0.43579367
1.53E+12,-7.7123084,-5.567607,-7.808054,flight_take_off,2,4,0.29371053
1.53E+12,-2.4367256,-6.6016593,-5.8931417,flight_take_off,2,3,0.2983513
1.53E+12,3.020774,-7.769756,0.4356425,flight_take_off,2,3,0.3647893
1.53E+12,-0.56968635,-13.552791,2.3314054,flight_take_off,2,3,0.2495824
1.53E+12,-0.6845811,1.0962871,2.0058703,flight_take_off,2,3,0.3624481
1.53E+12,3.2792869,-4.0548263,0.33032233,flight_take_off,2,3,0.3777603
1.53E+12,17.191124,-1.4026731,4.73462,flight_take_off,2,3,0.30172783
1.53E+12,0.50266445,-4.121848,8.372953,flight_take_off,2,2,0.4699031
1.53E+12,-0.91437054,-8.028269,10.546378,flight_take_off,2,2,0.49903068
1.53E+12,4.2080193,-13.792154,4.5718527,flight_cruising,3,4,0.35445303
1.53E+12,-6.6495323,-1.4792696,4.1026993,flight_cruising,3,2,0.44892308
1.53E+12,6.6878304,-2.1207652,10.584677,flight_cruising,3,2,0.5092664
1.53E+12,-0.40691882,-15.218764,-4.2080193,flight_cruising,3,2,0.6207757
1.53E+12,-6.47719,-6.285699,1.8431029,flight_cruising,3,2,0.6175158
1.53E+12,-9.129343,1.3069274,3.518651,flight_cruising,3,2,0.6503777
1.53E+12,-4.6675982,-2.714388,6.869747,flight_cruising,3,2,0.5266394
1.53E+12,-7.56869,3.2218397,5.653778,flight_cruising,3,2,0.4786272
1.53E+12,-3.604822,-6.8601727,6.4293175,flight_cruising,3,4,0.39180848
1.53E+12,6.6878304,-9.550624,-3.8154624,flight_cruising,3,4,0.3858986
1.53E+12,15.362382,-8.200611,-1.0005416,flight_cruising,3,3,0.30617383
1.53E+12,-6.0080366,-0.63670826,-4.495256,flight_cruising,3,3,0.36257008
1.53E+12,6.7261286,-0.7324539,6.5825105,flight_cruising,3,3,0.3955315
1.53E+12,-2.4654493,7.702734,2.7718353,flight_cruising,3,3,0.34060666
1.53E+12,-6.697405,-13.188957,-18.32092,flight_cruising,3,2,0.5044935
1.53E+12,-6.2378263,-11.092129,1.8048047,flight_cruising,3,2,0.43366313
1.53E+12,-2.1207652,-8.487848,-4.993133,flight_cruising,3,2,0.45844403
1.53E+12,8.430401,7.7123084,11.331492,flight_cruising,3,2,0.45202628
1.53E+12,8.363379,4.342063,10.92936,flight_cruising,3,4,0.40776655
1.53E+12,-4.96441,0.09095833,1.1250108,flight_cruising,3,4,0.32838738
1.53E+12,-9.100619,-5.088879,-2.819708,flight_cruising,3,4,0.38326696
1.53E+12,-5.6633525,-19.594337,-16.224092,flight_cruising,3,4,0.38118935
1.53E+12,2.8388572,-1.1154363,19.594337,flight_cruising,3,4,0.41267478
1.53E+12,9.914457,-9.493176,18.100706,unknown,4,2,0.38832757
1.53E+12,15.055996,12.432567,6.333572,unknown,4,2,0.37272346
1.53E+12,6.151655,19.603912,19.594337,unknown,4,2,0.3845262
1.53E+12,2.8963046,-3.8537605,1.79523,unknown,4,4,0.34363195
1.53E+12,-1.0005416,0.8664977,6.4484663,unknown,4,4,0.37460643
1.53E+12,-2.1782124,8.23891,-0.45479164,unknown,4,4,0.37657318
